A,AISC_name,EDI_Std_Nomenclature,H,Ix,Iy,Sx,Sy,T_F,Type,W,Zx,Zy,b,b_t,d,ro,rx,ry,t,y,yp
1.64,2L2-1/2X2X3/16LLBB,2L2-1/2X2X3/16LLBB,0.74,1.02,1.01,0.586,0.505,F,2L,5.5,1.06,0.831,2,13.3,2.5,1.29,0.79,0.784,0.188,0.754,0.319
1.64,2L2-1/2X2X3/16X3/4LLBB,2L2-1/2X2X3/16X3/4LLBB,0.801,1.02,1.88,0.586,0.792,F,2L,5.5,1.06,1.44,2,13.3,2.5,1.48,0.79,1.07,0.188,0.754,0.319
1.64,2L2-1/2X2X3/16X3/8LLBB,2L2-1/2X2X3/16X3/8LLBB,0.771,1.02,1.38,0.586,0.631,F,2L,5.5,1.06,1.14,2,13.3,2.5,1.38,0.79,0.916,0.188,0.754,0.319
1.89,2L2-1/2X1-1/2X1/4X3/8LLBB,2L2-1/2X1-1/2X1/4X3/8LLBB,0.668,1.19,0.902,0.728,0.535,F,2L,6.38,1.29,1.06,1.5,10,2.5,1.28,0.79,0.691,0.25,0.866,0.606
1.89,2L2-1/2X1-1/2X1/4LLBB,2L2-1/2X1-1/2X1/4LLBB,0.629,1.19,0.574,0.728,0.383,F,2L,6.38,1.29,0.705,1.5,10,2.5,1.21,0.79,0.551,0.25,0.866,0.606
1.89,2L2-1/2X1-1/2X1/4X3/4LLBB,2L2-1/2X1-1/2X1/4X3/4LLBB,0.711,1.19,1.37,0.728,0.731,F,2L,6.38,1.29,1.41,1.5,10,2.5,1.38,0.79,0.85,0.25,0.866,0.606
1.45,2L2-1/2X1-1/2X3/16LLBB,2L2-1/2X1-1/2X3/16LLBB,0.625,0.928,0.424,0.56,0.283,F,2L,4.88,0.994,0.502,1.5,13.3,2.5,1.22,0.8,0.541,0.188,0.839,0.569
1.45,2L2-1/2X1-1/2X3/16X3/8LLBB,2L2-1/2X1-1/2X3/16X3/8LLBB,0.662,0.928,0.665,0.56,0.394,F,2L,4.88,0.994,0.774,1.5,13.3,2.5,1.29,0.8,0.677,0.188,0.839,0.569
1.45,2L2-1/2X1-1/2X3/16X3/4LLBB,2L2-1/2X1-1/2X3/16X3/4LLBB,0.704,0.928,1.01,0.56,0.539,F,2L,4.88,0.994,1.05,1.5,13.3,2.5,1.38,0.8,0.833,0.188,0.839,0.569
26.2,2L8X6X1SLBB,2L8X6X1SLBB,0.924,77.6,345,17.8,43.1,F,2L,88.4,32.4,69.4,8,8,6,4.18,1.72,3.63,1,1.65,0.819
26.2,2L8X6X1X3/8SLBB,2L8X6X1X3/8SLBB,0.929,77.6,372,17.8,45.4,F,2L,88.4,32.4,74.3,8,8,6,4.3,1.72,3.77,1,1.65,0.819
26.2,2L8X6X1X3/4SLBB,2L8X6X1X3/4SLBB,0.933,77.6,401,17.8,47.9,F,2L,88.4,32.4,79.3,8,8,6,4.43,1.72,3.91,1,1.65,0.819
23,2L8X6X7/8SLBB,2L8X6X7/8SLBB,0.922,69.8,300,15.9,37.5,F,2L,78.2,28.7,59.8,8,9.14,6,4.17,1.74,3.61,0.875,1.6,0.719
23,2L8X6X7/8X3/8SLBB,2L8X6X7/8X3/8SLBB,0.926,69.8,323,15.9,39.5,F,2L,78.2,28.7,64.1,8,9.14,6,4.29,1.74,3.75,0.875,1.6,0.719
23,2L8X6X7/8X3/4SLBB,2L8X6X7/8X3/4SLBB,0.93,69.8,348,15.9,41.6,F,2L,78.2,28.7,68.4,8,9.14,6,4.42,1.74,3.89,0.875,1.6,0.719
20,2L8X6X3/4SLBB,2L8X6X3/4SLBB,0.919,61.5,258,13.8,32.2,F,2L,67.6,24.9,50.9,8,10.7,6,4.17,1.75,3.59,0.75,1.56,0.624
20,2L8X6X3/4X3/8SLBB,2L8X6X3/4X3/8SLBB,0.924,61.5,277,13.8,33.8,F,2L,67.6,24.9,54.7,8,10.7,6,4.28,1.75,3.72,0.75,1.56,0.624
20,2L8X6X3/4X3/4SLBB,2L8X6X3/4X3/4SLBB,0.928,61.5,298,13.8,35.6,F,2L,67.6,24.9,58.4,8,10.7,6,4.4,1.75,3.86,0.75,1.56,0.624
16.8,2L8X6X5/8X3/8SLBB,2L8X6X5/8X3/8SLBB,0.921,52.8,230,11.8,28.1,F,2L,57,21,45.2,8,12.8,6,4.27,1.77,3.7,0.625,1.51,0.526
16.8,2L8X6X5/8SLBB,2L8X6X5/8SLBB,0.917,52.8,214,11.8,26.8,F,2L,57,21,42,8,12.8,6,4.16,1.77,3.57,0.625,1.51,0.526
16.8,2L8X6X5/8X3/4SLBB,2L8X6X5/8X3/4SLBB,0.926,52.8,248,11.8,29.6,F,2L,57,21,48.4,8,12.8,6,4.39,1.77,3.84,0.625,1.51,0.526
15.2,2L8X6X9/16SLBB,2L8X6X9/16SLBB,0.916,48.2,192,10.7,24,F,2L,51.4,19,37.7,8,14.2,6,4.15,1.78,3.55,0.563,1.49,0.476
15.2,2L8X6X9/16X3/8SLBB,2L8X6X9/16X3/8SLBB,0.92,48.2,207,10.7,25.3,F,2L,51.4,19,40.6,8,14.2,6,4.27,1.78,3.69,0.563,1.49,0.476
15.2,2L8X6X9/16X3/4SLBB,2L8X6X9/16X3/4SLBB,0.924,48.2,223,10.7,26.6,F,2L,51.4,19,43.5,8,14.2,6,4.39,1.78,3.83,0.563,1.49,0.476
13.6,2L8X6X1/2X3/8SLBB,2L8X6X1/2X3/8SLBB,0.919,43.5,184,9.58,22.5,F,2L,46,17,36,8,16,6,4.26,1.79,3.68,0.5,1.46,0.425
13.6,2L8X6X1/2SLBB,2L8X6X1/2SLBB,0.915,43.5,170,9.58,21.2,F,2L,46,17,33.5,8,16,6,4.15,1.79,3.54,0.5,1.46,0.425
13.6,2L8X6X1/2X3/4SLBB,2L8X6X1/2X3/4SLBB,0.923,43.5,197,9.58,23.5,F,2L,46,17,38.6,8,16,6,4.38,1.79,3.81,0.5,1.46,0.425
12,2L8X6X7/16SLBB,2L8X6X7/16SLBB,0.913,38.6,150,8.46,18.8,F,2L,40.4,15,29.1,8,18.3,6,4.15,1.8,3.53,0.438,1.44,0.374
12,2L8X6X7/16X3/8SLBB,2L8X6X7/16X3/8SLBB,0.918,38.6,161,8.46,19.7,F,2L,40.4,15,31.4,8,18.3,6,4.26,1.8,3.66,0.438,1.44,0.374
22.2,2L8X4X1SLBB,2L8X4X1SLBB,0.983,23.3,345,7.87,43.1,F,2L,74.8,15.5,67.3,8,8,4,4.11,1.03,3.94,1,1.04,0.694
22.2,2L8X4X1X3/8SLBB,2L8X4X1X3/8SLBB,0.984,23.3,370,7.87,45.2,F,2L,74.8,15.5,71.4,8,8,4,4.25,1.03,4.08,1,1.04,0.694
12,2L8X6X7/16X3/4SLBB,2L8X6X7/16X3/4SLBB,0.922,38.6,173,8.46,20.7,F,2L,40.4,15,33.6,8,18.3,6,4.38,1.8,3.8,0.438,1.44,0.374
22.2,2L8X4X1X3/4SLBB,2L8X4X1X3/4SLBB,0.985,23.3,397,7.87,47.4,F,2L,74.8,15.5,75.6,8,8,4,4.39,1.03,4.23,1,1.04,0.694
19.6,2L8X4X7/8X3/8SLBB,2L8X4X7/8X3/8SLBB,0.982,21.1,323,7.02,39.5,F,2L,66.2,13.5,62.2,8,9.14,4,4.22,1.04,4.06,0.875,0.997,0.612
19.6,2L8X4X7/8SLBB,2L8X4X7/8SLBB,0.981,21.1,300,7.02,37.5,F,2L,66.2,13.5,58.5,8,9.14,4,4.09,1.04,3.91,0.875,0.997,0.612
19.6,2L8X4X7/8X3/4SLBB,2L8X4X7/8X3/4SLBB,0.984,21.1,347,7.02,41.4,F,2L,66.2,13.5,65.9,8,9.14,4,4.37,1.04,4.21,0.875,0.997,0.612
17,2L8X4X3/4X3/4SLBB,2L8X4X3/4X3/4SLBB,0.983,18.7,297,6.14,35.5,F,2L,57.4,11.6,56.3,8,10.7,4,4.35,1.05,4.18,0.75,0.949,0.531
17,2L8X4X3/4SLBB,2L8X4X3/4SLBB,0.98,18.7,257,6.14,32.1,F,2L,57.4,11.6,49.9,8,10.7,4,4.07,1.05,3.89,0.75,0.949,0.531
17,2L8X4X3/4X3/8SLBB,2L8X4X3/4X3/8SLBB,0.981,18.7,276,6.14,33.7,F,2L,57.4,11.6,53.1,8,10.7,4,4.2,1.05,4.03,0.75,0.949,0.531
14.3,2L8X4X5/8SLBB,2L8X4X5/8SLBB,0.979,16.2,213,5.23,26.6,F,2L,48.4,9.73,41.4,8,12.8,4,4.05,1.06,3.86,0.625,0.902,0.448
14.3,2L8X4X5/8X3/8SLBB,2L8X4X5/8X3/8SLBB,0.98,16.2,229,5.23,28,F,2L,48.4,9.73,44.1,8,12.8,4,4.18,1.06,4,0.625,0.902,0.448
14.3,2L8X4X5/8X3/4SLBB,2L8X4X5/8X3/4SLBB,0.981,16.2,246,5.23,29.4,F,2L,48.4,9.73,46.8,8,12.8,4,4.32,1.06,4.15,0.625,0.902,0.448
13,2L8X4X9/16SLBB,2L8X4X9/16SLBB,0.978,14.9,193,4.77,24.1,F,2L,43.8,8.77,37.1,8,14.2,4,4.04,1.07,3.85,0.563,0.878,0.406
13,2L8X4X9/16X3/8SLBB,2L8X4X9/16X3/8SLBB,0.98,14.9,207,4.77,25.3,F,2L,43.8,8.77,39.6,8,14.2,4,4.17,1.07,3.99,0.563,0.878,0.406
13,2L8X4X9/16X3/4SLBB,2L8X4X9/16X3/4SLBB,0.981,14.9,222,4.77,26.5,F,2L,43.8,8.77,42,8,14.2,4,4.31,1.07,4.13,0.563,0.878,0.406
11.6,2L8X4X1/2SLBB,2L8X4X1/2SLBB,0.978,13.5,170,4.29,21.2,F,2L,39.2,7.81,32.9,8,16,4,4.03,1.08,3.83,0.5,0.854,0.363
11.6,2L8X4X1/2X3/8SLBB,2L8X4X1/2X3/8SLBB,0.979,13.5,183,4.29,22.4,F,2L,39.2,7.81,35.1,8,16,4,4.16,1.08,3.97,0.5,0.854,0.363
11.6,2L8X4X1/2X3/4SLBB,2L8X4X1/2X3/4SLBB,0.98,13.5,197,4.29,23.5,F,2L,39.2,7.81,37.3,8,16,4,4.3,1.08,4.12,0.5,0.854,0.363
10.2,2L8X4X7/16X3/8SLBB,2L8X4X7/16X3/8SLBB,0.978,12.1,160,3.81,19.5,F,2L,34.4,6.85,30.6,8,18.3,4,4.15,1.09,3.96,0.438,0.829,0.319
10.2,2L8X4X7/16SLBB,2L8X4X7/16SLBB,0.977,12.1,149,3.81,18.6,F,2L,34.4,6.85,28.7,8,18.3,4,4.02,1.09,3.82,0.438,0.829,0.319
10.2,2L8X4X7/16X3/4SLBB,2L8X4X7/16X3/4SLBB,0.98,12.1,171,3.81,20.4,F,2L,34.4,6.85,32.6,8,18.3,4,4.29,1.09,4.1,0.438,0.829,0.319
15.5,2L7X4X3/4SLBB,2L7X4X3/4SLBB,0.969,18,173,6.01,24.7,F,2L,52.4,11.2,38.7,7,9.33,4,3.57,1.08,3.34,0.75,1,0.553
15.5,2L7X4X3/4X3/8SLBB,2L7X4X3/4X3/8SLBB,0.971,18,188,6.01,26.2,F,2L,52.4,11.2,41.6,7,9.33,4,3.7,1.08,3.48,0.75,1,0.553
15.5,2L7X4X3/4X3/4SLBB,2L7X4X3/4X3/4SLBB,0.973,18,204,6.01,27.7,F,2L,52.4,11.2,44.5,7,9.33,4,3.84,1.08,3.63,0.75,1,0.553
13,2L7X4X5/8X3/8SLBB,2L7X4X5/8X3/8SLBB,0.969,15.6,156,5.12,21.7,F,2L,44.2,9.38,34.3,7,11.2,4,3.68,1.1,3.46,0.625,0.958,0.464
13,2L7X4X5/8SLBB,2L7X4X5/8SLBB,0.967,15.6,142,5.12,20.3,F,2L,44.2,9.38,31.8,7,11.2,4,3.55,1.1,3.31,0.625,0.958,0.464
13,2L7X4X5/8X3/4SLBB,2L7X4X5/8X3/4SLBB,0.971,15.6,168,5.12,22.8,F,2L,44.2,9.38,36.7,7,11.2,4,3.82,1.1,3.6,0.625,0.958,0.464
10.5,2L7X4X1/2SLBB,2L7X4X1/2SLBB,0.965,13,114,4.2,16.3,F,2L,35.8,7.54,25.2,7,14,4,3.53,1.11,3.29,0.5,0.91,0.376
10.5,2L7X4X1/2X3/4SLBB,2L7X4X1/2X3/4SLBB,0.97,13,134,4.2,18.2,F,2L,35.8,7.54,29.2,7,14,4,3.8,1.11,3.57,0.5,0.91,0.376
10.5,2L7X4X1/2X3/8SLBB,2L7X4X1/2X3/8SLBB,0.968,13,124,4.2,17.3,F,2L,35.8,7.54,27.2,7,14,4,3.66,1.11,3.43,0.5,0.91,0.376
9.26,2L7X4X7/16SLBB,2L7X4X7/16SLBB,0.964,11.6,99.6,3.72,14.2,F,2L,31.4,6.61,22,7,16,4,3.53,1.12,3.28,0.438,0.886,0.331
9.26,2L7X4X7/16X3/8SLBB,2L7X4X7/16X3/8SLBB,0.967,11.6,108,3.72,15,F,2L,31.4,6.61,23.8,7,16,4,3.66,1.12,3.42,0.438,0.886,0.331
9.26,2L7X4X7/16X3/4SLBB,2L7X4X7/16X3/4SLBB,0.969,11.6,117,3.72,15.9,F,2L,31.4,6.61,25.5,7,16,4,3.79,1.12,3.56,0.438,0.886,0.331
8,2L7X4X3/8X3/8SLBB,2L7X4X3/8X3/8SLBB,0.966,10.1,92.5,3.22,12.9,F,2L,27.2,5.68,20.3,7,18.7,4,3.65,1.12,3.4,0.375,0.861,0.286
8,2L7X4X3/8SLBB,2L7X4X3/8SLBB,0.963,10.1,85,3.22,12.1,F,2L,27.2,5.68,18.8,7,18.7,4,3.52,1.12,3.26,0.375,0.861,0.286
16,2L6X4X7/8SLBB,2L6X4X7/8SLBB,0.952,19.4,127,6.74,21.2,F,2L,54.4,12.5,33.9,6,6.86,4,3.1,1.1,2.82,0.875,1.12,0.667
8,2L7X4X3/8X3/4SLBB,2L7X4X3/8X3/4SLBB,0.968,10.1,100,3.22,13.6,F,2L,27.2,5.68,21.8,7,18.7,4,3.78,1.12,3.54,0.375,0.861,0.286
16,2L6X4X7/8X3/4SLBB,2L6X4X7/8X3/4SLBB,0.959,19.4,155,6.74,24.3,F,2L,54.4,12.5,39.9,6,6.86,4,3.37,1.1,3.11,0.875,1.12,0.667
13.9,2L6X4X3/4X3/8SLBB,2L6X4X3/4X3/8SLBB,0.953,17.3,120,5.9,19.4,F,2L,47.2,10.8,31.3,6,8,4,3.22,1.12,2.94,0.75,1.07,0.578
16,2L6X4X7/8X3/8SLBB,2L6X4X7/8X3/8SLBB,0.956,19.4,140,6.74,22.6,F,2L,54.4,12.5,36.9,6,6.86,4,3.23,1.1,2.96,0.875,1.12,0.667
13.9,2L6X4X3/4SLBB,2L6X4X3/4SLBB,0.949,17.3,109,5.9,18.2,F,2L,47.2,10.8,28.7,6,8,4,3.09,1.12,2.8,0.75,1.07,0.578
13.9,2L6X4X3/4X3/4SLBB,2L6X4X3/4X3/4SLBB,0.957,17.3,132,5.9,20.7,F,2L,47.2,10.8,33.9,6,8,4,3.35,1.12,3.08,0.75,1.07,0.578
11.7,2L6X4X5/8SLBB,2L6X4X5/8SLBB,0.946,15,89.8,5.03,15,F,2L,40,9.13,23.8,6,9.6,4,3.08,1.13,2.77,0.625,1.03,0.488
11.7,2L6X4X5/8X3/4SLBB,2L6X4X5/8X3/4SLBB,0.954,15,110,5.03,17.3,F,2L,40,9.13,28.2,6,9.6,4,3.34,1.13,3.06,0.625,1.03,0.488
11.7,2L6X4X5/8X3/8SLBB,2L6X4X5/8X3/8SLBB,0.95,15,99.1,5.03,16,F,2L,40,9.13,26,6,9.6,4,3.21,1.13,2.91,0.625,1.03,0.488
10.6,2L6X4X9/16SLBB,2L6X4X9/16SLBB,0.945,13.7,80.7,4.58,13.4,F,2L,36.2,8.26,21.2,6,10.7,4,3.07,1.14,2.76,0.563,1,0.443
10.6,2L6X4X9/16X3/8SLBB,2L6X4X9/16X3/8SLBB,0.949,13.7,89.1,4.58,14.4,F,2L,36.2,8.26,23.2,6,10.7,4,3.2,1.14,2.9,0.563,1,0.443
10.6,2L6X4X9/16X3/4SLBB,2L6X4X9/16X3/4SLBB,0.953,13.7,98,4.58,15.4,F,2L,36.2,8.26,25.2,6,10.7,4,3.33,1.14,3.04,0.563,1,0.443
9.5,2L6X4X1/2SLBB,2L6X4X1/2SLBB,0.943,12.4,71.8,4.12,12,F,2L,32.4,7.38,18.8,6,12,4,3.07,1.14,2.75,0.5,0.981,0.396
9.5,2L6X4X1/2X3/8SLBB,2L6X4X1/2X3/8SLBB,0.948,12.4,79.3,4.12,12.8,F,2L,32.4,7.38,20.6,6,12,4,3.19,1.14,2.89,0.5,0.981,0.396
8.36,2L6X4X7/16SLBB,2L6X4X7/16SLBB,0.942,11.1,62.8,3.65,10.5,F,2L,28.6,6.49,16.3,6,13.7,4,3.06,1.15,2.74,0.438,0.957,0.348
9.5,2L6X4X1/2X3/4SLBB,2L6X4X1/2X3/4SLBB,0.952,12.4,87.2,4.12,13.7,F,2L,32.4,7.38,22.4,6,12,4,3.32,1.14,3.03,0.5,0.981,0.396
8.36,2L6X4X7/16X3/8SLBB,2L6X4X7/16X3/8SLBB,0.946,11.1,69.3,3.65,11.2,F,2L,28.6,6.49,17.9,6,13.7,4,3.19,1.15,2.88,0.438,0.957,0.348
8.36,2L6X4X7/16X3/4SLBB,2L6X4X7/16X3/4SLBB,0.95,11.1,76.2,3.65,12,F,2L,28.6,6.49,19.4,6,13.7,4,3.31,1.15,3.02,0.438,0.957,0.348
7.22,2L6X4X3/8SLBB,2L6X4X3/8SLBB,0.94,9.72,53.8,3.17,8.97,F,2L,24.6,5.58,13.9,6,16,4,3.06,1.16,2.73,0.375,0.933,0.301
7.22,2L6X4X3/8X3/4SLBB,2L6X4X3/8X3/4SLBB,0.949,9.72,65,3.17,10.2,F,2L,24.6,5.58,16.6,6,16,4,3.31,1.16,3,0.375,0.933,0.301
6.06,2L6X4X5/16SLBB,2L6X4X5/16SLBB,0.939,8.26,44.8,2.67,7.47,F,2L,20.6,4.67,11.5,6,19.2,4,3.05,1.17,2.72,0.313,0.908,0.253
6.06,2L6X4X5/16X3/8SLBB,2L6X4X5/16X3/8SLBB,0.944,8.26,49.2,2.67,7.95,F,2L,20.6,4.67,12.7,6,19.2,4,3.17,1.17,2.85,0.313,0.908,0.253
7.22,2L6X4X3/8X3/8SLBB,2L6X4X3/8X3/8SLBB,0.945,9.72,59.1,3.17,9.55,F,2L,24.6,5.58,15.3,6,16,4,3.18,1.16,2.86,0.375,0.933,0.301
6.06,2L6X4X5/16X3/4SLBB,2L6X4X5/16X3/4SLBB,0.948,8.26,54.2,2.67,8.5,F,2L,20.6,4.67,13.8,6,19.2,4,3.3,1.17,2.99,0.313,0.908,0.253
9,2L6X3-1/2X1/2SLBB,2L6X3-1/2X1/2SLBB,0.964,8.47,71.6,3.17,11.9,F,2L,30.6,5.77,18.6,6,12,3.5,3.04,0.968,2.82,0.5,0.829,0.375
9,2L6X3-1/2X1/2X3/8SLBB,2L6X3-1/2X1/2X3/8SLBB,0.967,8.47,78.9,3.17,12.8,F,2L,30.6,5.77,20.3,6,12,3.5,3.17,0.968,2.96,0.5,0.829,0.375
9,2L6X3-1/2X1/2X3/4SLBB,2L6X3-1/2X1/2X3/4SLBB,0.969,8.47,87,3.17,13.6,F,2L,30.6,5.77,22,6,12,3.5,3.31,0.968,3.11,0.5,0.829,0.375
6.88,2L6X3-1/2X3/8SLBB,2L6X3-1/2X3/8SLBB,0.962,6.65,53.9,2.45,8.98,F,2L,23.4,4.36,13.9,6,16,3.5,3.02,0.984,2.8,0.375,0.781,0.287
6.88,2L6X3-1/2X3/8X3/8SLBB,2L6X3-1/2X3/8X3/8SLBB,0.965,6.65,59.5,2.45,9.62,F,2L,23.4,4.36,15.2,6,16,3.5,3.15,0.984,2.94,0.375,0.781,0.287
6.88,2L6X3-1/2X3/8X3/4SLBB,2L6X3-1/2X3/8X3/4SLBB,0.967,6.65,65.3,2.45,10.2,F,2L,23.4,4.36,16.5,6,16,3.5,3.29,0.984,3.08,0.375,0.781,0.287
5.78,2L6X3-1/2X5/16SLBB,2L6X3-1/2X5/16SLBB,0.96,5.68,44.7,2.07,7.45,F,2L,19.6,3.65,11.6,6,19.2,3.5,3.02,0.991,2.78,0.313,0.756,0.241
5.78,2L6X3-1/2X5/16X3/4SLBB,2L6X3-1/2X5/16X3/4SLBB,0.966,5.68,54.1,2.07,8.49,F,2L,19.6,3.65,13.7,6,19.2,3.5,3.28,0.991,3.06,0.313,0.756,0.241
5.78,2L6X3-1/2X5/16X3/8SLBB,2L6X3-1/2X5/16X3/8SLBB,0.964,5.68,49.3,2.07,7.97,F,2L,19.6,3.65,12.6,6,19.2,3.5,3.14,0.991,2.92,0.313,0.756,0.241
11.7,2L5X3-1/2X3/4SLBB,2L5X3-1/2X3/4SLBB,0.943,11,63.5,4.4,12.7,F,2L,39.6,8.13,20.4,5,6.67,3.5,2.6,0.974,2.33,0.75,0.993,0.585
11.7,2L5X3-1/2X3/4X3/8SLBB,2L5X3-1/2X3/4X3/8SLBB,0.949,11,71.4,4.4,13.8,F,2L,39.6,8.13,22.6,5,6.67,3.5,2.73,0.974,2.47,0.75,0.993,0.585
11.7,2L5X3-1/2X3/4X3/4SLBB,2L5X3-1/2X3/4X3/4SLBB,0.953,11,80.3,4.4,14.9,F,2L,39.6,8.13,24.7,5,6.67,3.5,2.86,0.974,2.62,0.75,0.993,0.585
9.86,2L5X3-1/2X5/8SLBB,2L5X3-1/2X5/8SLBB,0.94,9.6,52.2,3.76,10.4,F,2L,33.6,6.87,16.7,5,8,3.5,2.59,0.987,2.3,0.625,0.947,0.493
9.86,2L5X3-1/2X5/8X3/8SLBB,2L5X3-1/2X5/8X3/8SLBB,0.945,9.6,59.2,3.76,11.4,F,2L,33.6,6.87,18.5,5,8,3.5,2.71,0.987,2.45,0.625,0.947,0.493
9.86,2L5X3-1/2X5/8X3/4SLBB,2L5X3-1/2X5/8X3/4SLBB,0.95,9.6,66.1,3.76,12.3,F,2L,33.6,6.87,20.4,5,8,3.5,2.85,0.987,2.59,0.625,0.947,0.493
8,2L5X3-1/2X1/2SLBB,2L5X3-1/2X1/2SLBB,0.936,8.04,41.6,3.09,8.32,F,2L,27.2,5.57,13.2,5,10,3.5,2.58,1,2.28,0.5,0.901,0.4
8,2L5X3-1/2X1/2X3/8SLBB,2L5X3-1/2X1/2X3/8SLBB,0.942,8.04,46.9,3.09,9.04,F,2L,27.2,5.57,14.7,5,10,3.5,2.7,1,2.42,0.5,0.901,0.4
8,2L5X3-1/2X1/2X3/4SLBB,2L5X3-1/2X1/2X3/4SLBB,0.947,8.04,52.8,3.09,9.82,F,2L,27.2,5.57,16.2,5,10,3.5,2.83,1,2.57,0.5,0.901,0.4
6.1,2L5X3-1/2X3/8SLBB,2L5X3-1/2X3/8SLBB,0.933,6.31,31.2,2.38,6.24,F,2L,20.8,4.23,9.76,5,13.3,3.5,2.56,1.02,2.26,0.375,0.854,0.305
6.1,2L5X3-1/2X3/8X3/8SLBB,2L5X3-1/2X3/8X3/8SLBB,0.938,6.31,34.8,2.38,6.71,F,2L,20.8,4.23,10.9,5,13.3,3.5,2.69,1.02,2.39,0.375,0.854,0.305
6.1,2L5X3-1/2X3/8X3/4SLBB,2L5X3-1/2X3/8X3/4SLBB,0.944,6.31,39.4,2.38,7.33,F,2L,20.8,4.23,12,5,13.3,3.5,2.81,1.02,2.54,0.375,0.854,0.305
5.12,2L5X3-1/2X5/16SLBB,2L5X3-1/2X5/16SLBB,0.931,5.38,25.9,2.01,5.18,F,2L,17.4,3.55,8.04,5,16,3.5,2.56,1.02,2.25,0.313,0.829,0.256
5.12,2L5X3-1/2X5/16X3/8SLBB,2L5X3-1/2X5/16X3/8SLBB,0.937,5.38,29,2.01,5.59,F,2L,17.4,3.55,9,5,16,3.5,2.68,1.02,2.38,0.313,0.829,0.256
5.12,2L5X3-1/2X5/16X3/4SLBB,2L5X3-1/2X5/16X3/4SLBB,0.942,5.38,32.5,2.01,6.05,F,2L,17.4,3.55,9.96,5,16,3.5,2.81,1.02,2.52,0.313,0.829,0.256
4.14,2L5X3-1/2X1/4SLBB,2L5X3-1/2X1/4SLBB,0.929,4.4,20.6,1.63,4.12,F,2L,14,2.85,6.42,5,20,3.5,2.55,1.03,2.23,0.25,0.804,0.207
